48,WA,WASHINGTON,47.3917,-121.571
49,WI,WISCONSIN,44.2563,-89.6385
50,WV,WEST VIRGINIA,38.468,-80.9696
10,FL,FLORIDA,27.8333,-81.717
51,WY,WYOMING,42.7475,-107.209
31,NH,NEW HAMPSHIRE,43.4108,-71.5653
32,NJ,NEW JERSEY,40.314,-74.5089
33,NM,NEW MEXICO,34.8375,-106.237
28,NC,NORTH CAROLINA,35.6411,-79.8431
29,ND,NORTH DAKOTA,47.5362,-99.793
30,NE,NEBRASKA,41.1289,-98.2883
35,NY,NEW YORK,42.1497,-74.9384
40,RI,RHODE ISLAND,41.6772,-71.5101
34,NV,NEVADA,38.4199,-117.122
6,CO,COLORADO,39.0646,-105.327
5,CA,CALIFORNIA,36.17,-119.746
11,GA,GEORGIA,32.9866,-83.6487
7,CT,CONNECTICUT,41.5834,-72.7622
37,OK,OKLAHOMA,35.5376,-96.9247
36,OH,OHIO,40.3736,-82.7755
17,KS,KANSAS,38.5111,-96.8005
41,SC,SOUTH CAROLINA,33.8191,-80.9066
18,KY,KENTUCKY,37.669,-84.6514
38,OR,OREGON,44.5672,-122.127
42,SD,SOUTH DAKOTA,44.2853,-99.4632
9,DE,DELAWARE,39.3498,-75.5148
8,DC,DISTRICT OF COLUMBIA,38.8964,-77.0262
12,HI,HAWAII,21.1098,-157.531
44,TX,TEXAS,31.106,-97.6475
19,LA,LOUISIANA,31.1801,-91.8749
43,TN,TENNESSEE,35.7449,-86.7489
39,PA,PENNSYLVANIA,40.5773,-77.264
46,VA,VIRGINIA,37.768,-78.2057
1,AK,ALASKA,61.385,-152.268
2,AL,ALABAMA,32.799,-86.8073
3,AR,ARKANSAS,34.9513,-92.3809
47,VT,VERMONT,44.0407,-72.7093
15,IL,ILLINOIS,40.3363,-89.0022
16,IN,INDIANA,39.8647,-86.2604
13,IA,IOWA,42.0046,-93.214
4,AZ,ARIZONA,33.7712,-111.388
14,ID,IDAHO,44.2394,-114.51
22,ME,MAINE,44.6074,-69.3977
21,MD,MARYLAND,39.0724,-76.7902
20,MA,MASSACHUSETTS,42.2373,-71.5314
45,UT,UTAH,40.1135,-111.854
25,MO,MISSOURI,38.4623,-92.302
24,MN,MINNESOTA,45.7326,-93.9196
23,MI,MICHIGAN,43.3504,-84.5603
27,MT,MONTANA,46.9048,-110.326
26,MS,MISSISSIPPI,32.7673,-89.6812
